movie_id,movie_map_id
le+cercle+rouge+1970,935
jesse+stone+night+passage+2006,936
some+girls+1988,937
a+gang+story+2011,938
best+friends+1982,939
as+it+is+in+heaven+2004,940
thr3e+2006,941
lassoci+1979,942
ghost+story+1981,943
my+neighbor+totoro+1988,944
airplane+1980,945
the+age+of+the+medici+1972,946
guy+x+2005,947
children+of+paradise+1945,948
season+of+monsters+1987,949
nymphomaniac+vol.+ii+2013,950
thirteen+2003,951
conan+the+barbarian+1982,952
get+low+2010,953
command+decision+1948,954
sleuth+1972,955
drive+2011,956
madeinusa+2006,957
the+land+before+time+xi+invasion+of+the+tinysauruses+2005,958
49+up+2005,959
close+2004,960
kaboom+2010,961
beautiful+boy+2010,962
safe+1995,963
diner+1982,964
quinceaera+2006,965
legends+of+the+fall+1994,966
azumi+2+death+or+love+2005,967
the+devils+brigade+1968,968
crazy+2005,969
last+hurrah+for+chivalry+1979,970
broadway+1929,971
henry+v+1989,972
cheeky+2000,973
pixote+1981,974
good+men_+good+women+1995,975
the+adventure+of+faustus+bidgood+1986,976
the+turin+horse+2011,977
toy+story+2+1999,978
educating+rita+1983,979
a+bugs+life+1998,980
the+fighting+prince+of+donegal+1966,981
tarzan+the+ape+man+1932,982
copycat+1995,983
captain+blood+1935,984
outsourced+2006,985
extraction+2013,986
client+9+the+rise+and+fall+of+eliot+spitzer+2010,987
the+ghost+and+the+darkness+1996,988
duck_+you+sucker+1971,989
american+graffiti+1973,990
zardoz+1974,991
the+file+on+thelma+jordon+1950,992
the+public+enemy+1931,993
the+incident+1990,994
valkyrie+2008,995
in+praise+of+older+women+1978,996
the+maze+runner+2014,997
the+sand+pebbles+1966,998
o.c.+and+stiggs+1985,999
intolerance+loves+struggle+throughout+the+ages+1916,1000
the+saimaa+gesture+1981,1001
the+purge+anarchy+2014,1002
day+for+night+1973,1003
weekend+2011,1004
dating+the+enemy+1996,1005
eulogy+2004,1006
the+quince+tree+sun+1992,1007
virginia+2010,1008
ghost+machine+2009,1009
stir+crazy+1980,1010
winwin+2010,1011
meeks+cutoff+2010,1012
looper+2012,1013
face+of+terror+2004,1014
the+counterfeit+coin+1955,1015
linsanity+2013,1016
touchez+pas+au+grisbi+1954,1017
a+scene+at+the+sea+1991,1018
taxi+to+the+dark+side+2007,1019
